request_id,prompt_length,max_new_tokens,generated_tokens,ttft,tpot,latency,queue_wait,priority
15,27,5,5,0.093814373,0.001889944,0.101374149,0.001920462,0
6,37,6,6,0.093858242,0.00187149,0.103215694,0.001213312,0
7,11,7,7,0.093849897,0.001840472,0.104892731,0.001279116,0
0,50,8,8,0.093931675,0.00181348,0.106626034,0.000809669,0
3,18,8,8,0.093906164,0.00181348,0.106600523,0.001019001,0
16,58,10,10,0.093811274,0.001764403,0.109690905,0.002016544,0
19,19,11,11,0.093290329,0.00174365,0.110726833,0.001754284,0
2,25,12,12,0.093909979,0.001735102,0.112996101,0.000945807,0
8,23,12,12,0.093844891,0.001735102,0.112931013,0.001349449,0
13,36,12,12,0.093822479,0.001735102,0.112908602,0.001767635,0
1,11,13,13,0.093915224,0.001731336,0.114691257,0.000872374,0
18,31,13,13,0.093292952,0.001731336,0.114068985,0.001677275,0
17,54,18,18,0.093297005,0.001638104,0.121144772,0.001601219,0
4,53,22,22,0.093902588,0.001588662,0.1272645,0.001100063,0
10,11,22,22,0.093837738,0.001588662,0.12719965,0.001495123,0
12,54,22,22,0.093827486,0.001588662,0.127189398,0.001690149,0
5,15,23,23,0.093899012,0.001582124,0.12870574,0.001174927,0
14,38,23,23,0.093817711,0.001582124,0.128624439,0.00184226,0
9,42,24,24,0.093841076,0.001566804,0.129877567,0.001424551,0
11,22,25,25,0.093830824,0.001545141,0.130914211,0.001601696,0
